name,location,suburb,beach_type,rating,return_visit,tags,vibe,review,related_walks,visited,other_names,latitude,longitude
Double Bay Beach,East,Double Bay,"Harbour Beach, Sydney Harbour",2,No,"Cafe, Dog Beach",Not Worth your Time,"Small stripnof sand, not really a vibe, the water had that weird black debris in it, probably a miss from me.",,Visited,,-33.87389854,151.24494329191702
Obelisk beach,North Shore,Middle Head,"Harbour Beach, Sydney Harbour",6,Yes,"Crystal Water, Nudist","It's Giving Secret Beach, NSFW, Potential for Party","So beautiful, super clear waters would be good for snorkelling, nudist beach, heaps of men, vibe I got was more gay men tho, some party boats that pull up here on weekends, v busy on Sunday arvo. More like a 50/50 ratio of people going nude vs not. I think I would like it better during the week with less people.",,Visited,,-33.82962945,151.26043967005378
Cobblers Beach,North Shore,Middle Head,"Harbour Beach, Sydney Harbour",4,Yes,Nudist,"It's Giving Secret Beach, NSFW, The Place to be Seen, They make you work for it","More chill version of obelisk (also Nudist). Quite a few men but also a few women in couples. Few boats parked up but no party boats. Can chill on grass, sand or rocks, pretty small but feels less crowded than obelisk. V steep and hidden path to get down to it, also another longer but not as steep entrance. 100 percent ratio of nudity ",,Visited,,-33.82574256,151.26315690258642
Sirius Cove,North Shore,Mosman,"Harbour Beach, Sydney Harbour",2,No,"BBQ, Dog Beach",Not Worth your Time,"Sand is a bit icky but might be better at high tide. More of a dog beach, great Op if you wanted to swim with your dog but probably wouldn't come here to swim otherwise. Faces onto a park, much nicer to chill in bikini on grass and watch dogs frolick in the water. Can also do picnic vibes in the park",,Visited,,-33.83832483,151.2411518779899
MacCallum Pool,North Shore,Cremorne,"Harbour Pool, Sydney Harbour",6,Yes,NYE Fireworks Slay,"THE DRAMA, Visit with Mates","Really nice place to chill, mix of old, young and families, good vibe without being crowded. You can literally see the opera house and harbour Bridge from it, so views are pretty unparalleled. You can hear the bass from heaps of party boats going past on weekends which is a fun touch. Good spot to watch the sunset over water/buildings ",,Visited,,-33.84518311,151.22842571922556
Hayes St Beach,North Shore,Neutral Bay,"Harbour Beach, Sydney Harbour",2,Yes,"Bars, Cafe","Book Readers Delight, Chill, Stepping Back in Time","I had no idea this beach was here, it's right next to the Neutral Bay ferry stop which is a bit fun. It's pretty small and has kind of a funky smell and has some rubbish. The entrance to it feels a bit European and later in the day it will be in shade as it has tall buildings in front of it. I would come back if I lived close by as it's very low key but probably wouldn't travel for it. Some cite cafes right next door tho plus you can see the top of the harbour Bridge. Maybe I would return with a friend to drink a coffee on the beach.",,Visited,,-33.84147128,151.2195649213503
Greenwich Baths,North Shore,Greenwich,"Harbour Beach, Sydney Harbour",2,No,"Cafe, Paid, Shark Nets",Kids & Families Only,Come here if you are either a 5 year old or you are the parent of a 5 year old. There are lots of families and shark nets too.,,Visited,,-33.8409596,151.18330954806083
Balmoral Beach,North Shore,Balmoral,"Bay, Jetty Pool",6,Yes,"BBQ, Bars, Cafe","Chill, Kids & Families Only","Balmoral is undeniably beautiful, has a great promenade, heaps of cafes, beautiful flora that separates the different beaches. You can sit here on the grass or the beach and you can also hire paddle boards and kayaks on the right hand side. There are alot of families but the view out into the ocean makes up for that. It looses 1 point because I always have war flashbacks to predrinking here as a teenager and vomitting into my highschool boyfriends rubbish bin and then passing out in the gutter. ",,Visited,"Bennetts Beachside, Edwards Beach",-33.82558941,151.2519462004615
Manly Beach,Northern Beaches,Manly,Surf Beach,6,Yes,"Bars, Cafe","Intimidatingly Large, Potential for Party, Visit with Mates","I mean Manly is obviously a good beach, heaps of shops, cafes and nightlife around it. BUT it can get really touristy and busy in summer and on weekends, but it’s also cool that it has such a big international crowd of locals. It’s more chill the further you get down to Queenscliff side. I love that you can play volleyball here (obviously not for me because I hate volleyball, but I like that other people have the option. I love riding my bike down the bike path, I also learned to surf here so it holds a nostalgic piece of my heart. I always run into people from highschool here, which used to be a downside but now is kind of neat. I have a complex and ever evolving relationship with the Steyne. ",,Visited,"Ocean Beach, Queenscliff Beach",-33.79280478,151.28685647676843
Fairy Bower Sea Pool,Northern Beaches,Manly,Ocean Pool,7,Yes,"Cafe, Crystal Water",The Place to be Seen,"Absolutely the place to be seen. Almost all young people, and it is buzzing. Although it’s kinda uncomfortable sitting on the rocks, It’s such a vibe. I love that I see people ‘wfh’ there as well. It’s very much a euro feel with the cafes nearby. The pool is also super clean and is great for pics. Also has much more of a local feel because all the tourists would rather go to the beaches (honestly fair). Apparently this has some of the best snorkelling in Sydney.",,Visited,,-33.80077239,151.29444555107452
Shelly Beach Manly,Northern Beaches,Manly,Bay,5,Yes,"BBQ, Bars, Cafe",Chill,"Much more chill than Manly, honestly I really nice spot. One of the only beaches in Sydney that you can watch the sunset from over the water (mostly). You can also hike up the hill near it look over the clifface. It’s a really nice place to come and chill and read a book or catch up with mates. Sometimes the sand has a few too many shells which makes it uncomfy to walk on, but I love that there are bush turkeys roaming about. This would be a 6 but I got broken up with here so I have to deduct that point for personal trauma. ",,Visited,,-33.80048611,151.29752026737629
East Manly Cove Beach,Northern Beaches,Manly,"Harbour Beach, Sydney Harbour",3,Yes,"Bars, Cafe","Kids & Families Only, Potential for Party","Right next to the Manly ferry stop. It are quite beautiful but is always full of children running around and quite busy. ‘The Office’ which is the grass facing onto it is always a vibe at sunset with people bringing BYO drinks and looking out over the beach. I do like watching people kayak around here, and also there is Wharf bar and some good food ops here, but that’s not anything to do with the beach I guess. ",Spit to Manly Walk,Visited,,-33.8013783,151.28600803696705
Cabbage Tree Beach,Northern Beaches,Manly,"Harbour Beach, Sydney Harbour",3,Yes,"Bars, Cafe, Shark Nets",Kids & Families Only,"This beach is just an extension of East Manly Cove Beach, same sort of vibe but minus the office. Lot’s of kids, but it also has a shark net, which is good for tourists. ",Spit to Manly Walk,Visited,,-33.79884152,151.28245315977227
Fairlight Beach,Northern Beaches,Fairlight,"Harbour Beach, Harbour Pool, Sydney Harbour",5,Yes,,"Book Readers Delight, Potential for Party","You come to this beach to sit on the grass. The sand is pretty small and a bit mucky, so it’s much nicer to sit around it. A good mix of people of all ages locals and local internationals, on the weekends there are lots of people that do picnics and BBQs which makes the place buzzing. Good place to chill and read a book. ",Spit to Manly Walk,Visited,,-33.79972601,151.27549213682306
Delwood Beach,Northern Beaches,Manly,"Harbour Beach, Sydney Harbour",2,Yes,,Chill,Kind of a worse Fairlight. It’s totally fine if a bit unremarkable. It’s hard to stay in the sunlight the whole time as there are trees that block out a lot of it. It’s also quite small but I suppose a bit of an Oasis from Manly if that’s what you’re looking for. ,Spit to Manly Walk,Visited,,-33.79941034,151.27845917992937
